CAGE_CODE,INITIAL_REGISTRATION_DATE,PHYSICAL_ADDRESS_ZIP_POSTAL_CODE,ENTITY_CONGRESSIONAL_DISTRICT,BUSINESS_START_DATE,FISCAL_YEAR_END_CLOSE_DATE,ENTITY_STRUCTURE,STATE_OF_INCORPORATION,BUSINESS_TYPE_STRING,NAICS_CODE_STRING,PSC_CODE_STRING,CREDIT_CARD_USAGE,SBA_BUSINESS_TYPES_STRING
824B8,20180228,30314,05,20150821,1231,2L,GA,2X,423690Y~511210Y~541511Y,,Y,XX        
82HX0,20180228,37206,05,20080211,1231,2L,NY,2X~8W~A2~XS,531390Y,,N,XX        
826T1,20180228,99503,00,20171116,1231,2L,AK,05~23~27~2X~NB,493110Y~541330E~811219Y,,Y,A620280415
829V0,20180228,92029,50,20100729,1231,2L,CA,23~27~2X~PI,221310Y~221320Y~236210Y~236220Y~237110Y~237120Y~237310Y~237990E~238110Y~238120Y~238160Y~238170Y~238210Y~238220Y~238320Y~238330Y~238910Y~238990E~326199Y~332312Y~541380Y~561730N~562910E,,Y,A620220117
82F48,20180228,21222,02,20180102,1231,2L,MD,27~2X~LJ~OY,236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990E~423610Y~423620Y~423690Y~423810Y~423820Y~423830Y~423840Y~423850Y~423860Y~485111Y~485113Y~485310Y~485510Y~485991Y~485999Y~492110Y~492210Y~531311Y~531312Y~811411Y~811412Y~811420Y~811490Y,,Y,XX        
828U0,20180301,22401,01,20180201,0930,2J,DE,1B~23~27~2X~LJ~NB~OW~XY,518210Y~541330E~541513Y~541519E~541611Y~541612Y~541614Y~541618Y~561110Y~561210Y~561410Y~561439Y~561591Y~561599Y~561611Y~561990Y~611420Y~611430Y,,N,A620281103
829W4,20180301,20037,98,20120523,1231,2K,VA,2X~LJ,541511Y~541611Y,7010~D302~R408~R410~R413~R499,Y,XX        
822B2,20180301,32539,01,20180213,1231,2K,FL,27~2X~8C~8D~8E~8W~A2~A5~LJ~QF,236220Y,,Y,JT20200629
82A47,20180302,28364,09,20170927,1231,2K,NC,27~2X~A5~LJ~NB~OW,238990E~331210Y~332994Y~332999Y~336413Y~336992Y~423930Y~541330E~541618Y~541620Y~541690Y~541715E~561210Y~561320Y~561720Y~561730Y~562211Y~562219Y~562910E~611430Y,AP24~AP26~AP27~B510~R408~R499~R699~R799~S208~Z1PC~Z2PC,Y,XX        
82AK5,20180302,46204,07,20180228,1231,2K,IN,23~27~2X~HQ~JX~LJ~OY,212321Y~236220Y~238210Y~238220Y~335999Y~423610Y~541310Y~541330E~541430Y~541511Y~541512Y~541513Y~541519E,,Y,JT20200808
83DK3,20180302,31061,10,20010101,1231,2J,GA,27~2X~LJ,213115Y~541360Y~541620Y~541690Y~541715E,,N,XX        
82A07,20180303,40211,03,20190911,1231,2K,KY,23~27~2X~A5~MF~OY~QF,114210Y~221118Y~221310Y~314999Y~315280Y~315990Y~316998Y~325920Y~326111Y~332216Y~332992Y~332993Y~332994Y~333120Y~333314Y~333318Y~333515Y~333519Y~333999Y~335122Y~335129Y~335312Y~336112Y~336413Y~339113Y~339920Y~339999Y~423610Y~423910Y~423990Y~424320Y~448190Y~451110Y,1005~1095~1240~1250~1305~1310~1346~1367~1377~1395~1730~3695~4240~4610~6115~6210~6220~6230~6650~6930~8465~8470~9999,Y,XX        
82AT2,20180303,92108,53,20081202,1231,2L,CA,23~27~2X~PI~XS,236118Y~236220Y~237110Y~237310Y~237990E~238110Y~238120Y~238130Y~238150Y~238160Y~238190Y~238220Y~238320Y~238330Y~238350Y~238390Y~238910Y~238990E~531311Y~541330E~541350Y~541613Y~541618Y~561210Y~561710Y~561720Y~561730Y~562910E,,N,A620260922~XX        
83QP7,20180303,92108,53,20180227,1231,2L,CA,23~27~2X~JX~LJ~PI,236220Y~237310Y~238320Y,,N,JT20210809
82NX0,20180304,47404,09,20180228,1231,2K,IN,23~27~2X~FR,236210Y~236220Y~238210Y,,N,JT20200926
6P7G0,20180305,99503,00,20111121,1231,2L,AK,05~23~27~2X~LJ~NB,236220Y~237310Y~237990E,,N,A620271115
82R47,20180305,20705,05,20180201,1231,2L,DE,05~23~27~2X~NB,518210Y~519120Y~519190Y~541330E~541611Y~541614Y~541990Y~561110Y~561210Y~561611Y~611710Y,,N,A620271116
823B7,20180306,20020,98,20180306,0305,2J,DC,23~27~2X~8E~8W~A2~OW~OY,238990E~511130Y~511199Y~511210Y,AD96~AE15~AE16~AE25,Y,XX        
82H87,20180306,46802,03,20150909,1231,2L,IN,23~27~2X~8E~8W~A2~OY~XS,236115Y~531210Y~531311Y~531390Y,,N,XX        
82DM4,20180306,48075,14,20180223,1231,2L,MI,23~27~2X~FR,541219Y~541330E~541360Y~541370Y~541380Y~541511Y~541512Y~541513Y~541519E~541611Y~541612Y~541613Y~541614Y~541618Y~541620Y~541690Y~541810Y~541820Y~541830Y~541840Y~541850Y~541860Y~541870Y~541890Y~541910Y~541990Y~561110Y,,N,JT20200808
82TQ7,20180306,72206,02,20170921,1231,2J,AR,27~2X~8E~8W~A2~LJ,541490Y~541512Y~541519E~541611Y~541612Y~541613Y~541614Y~541618Y~541910Y~541990Y~611420Y~611430Y,,N,XX        
82CV5,20180306,74135,01,20060426,1231,2L,VA,2X~XS,541511Y~541512Y~541519E~541618N~541690N,D314,Y,XX        
82UB2,20180306,94559,05,20180201,1231,2L,CA,2X,541330E~541620Y~562910E,,N,JT20200326
6KR95,20190409,33137,24,20061228,1231,2L,FL,23~27~2X~PI~XS,541612Y~561311Y~561320Y~561330Y~561720Y~561790Y~562910E~624230Y~813920Y,R408~R410~R429~R431~R497~R615~R707~S201~S216,Y,A620230418~XX        
6XKJ0,20180307,03101,01,20110601,1231,ZZ,NH,2X,221111Y~221112Y~221113Y~221114Y~221115Y~221116Y~221117Y~221118Y~221122Y~523140Y,S112,N,XX        
82XY9,20180307,65452,04,20000119,1231,2L,MO,2X,238210Y,6115~6145~6150~6210,Y,XX        
82DU6,20180307,92110,53,20120223,1231,2L,ID,05~23~27~2X~HQ~LJ~NB,213112Y~237110Y~237120Y~238910Y~541330E~541360Y~541370Y~541620Y~541690Y~541715E~541990Y~561110Y~561210Y~562211Y~562910E~611430Y~621999Y,F108~F110~R408~R425,Y,A620241101
82Y41,20180307,20151,10,20180213,0930,2K,CA,05~23~27~2X~NB,561612Y,,Y,JT20200430
82XY8,20180308,25880,03,20180301,1231,2L,WV,27~2X~8E~8W~A2~XS,517312Y~541511Y~541512Y~541513Y~541519E~541611Y~541618Y~541620Y~541690Y~541715E~541990Y~561311Y~561320Y~561499Y~611430Y~811212Y,,Y,XX        
82KG6,20180309,32082,04,20180302,1231,2L,FL,23~27~2X~8U~G9~LJ,236118Y~236210Y~236220Y~237110Y~237120Y~237130Y~238160Y~238210Y~238220Y~238320Y~238910Y~238990E~332321Y~423330Y~423390Y~484110Y~488190Y~517410Y~517911Y~517919Y~531120E~532120Y~541199Y~541330E~541511Y~541512Y~541513Y~541519E~541611Y~541613Y~541618Y~541620Y~541690Y~541715E~541990Y~561110Y~561210Y~561410Y~561421Y~561422Y~561431Y~561492Y~561720Y~561730Y~561910Y~561990Y~562910E~611420Y~611430Y~811310Y,AG71~AG73~AG74~AG76~AG81~AG84~C100~C1AZ~C200~R607~R699~Z1AZ~Z2AZ,Y,JT20200803
824D9,20180309,02144,07,19891119,1231,2L,MA,23~27~2X~PI~XS,524210Y~541511Y~541512Y~541513Y~541519E~541611Y,,N,A620271115
82FU3,20180309,82070,00,20180125,1231,2J,WY,27~2X~LJ,541430Y~541620Y~541690Y~541720Y~541990Y~561410Y~561990Y~711510Y,B509~B510~B521~B525~B527~B534~F099~F999~G003~T013,N,XX        
836Y9,20180309,99503,00,20171013,0930,ZZ,AK,05~23~27~2X~LJ~NB,517311Y~517312Y~517410Y~517911Y~517919Y~541330E~541511Y~541512Y~541513Y~541519E~541611Y~541690Y~541990Y~561422Y,,Y,A620280728
826R1,20180310,07306,10,20141021,1231,2L,NY,23~27~2X~QZ,236220Y~237110Y~237120Y~237130Y~237210Y~237310Y~237990E~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990E~541310Y~541330E~541340Y~541350Y~541380Y~541410Y~541611Y,,N,XX        
83LB0,20180312,29730,05,20180125,1218,2K,SC,23~27~2X~LJ~NB~XY,512110Y~512120Y~512191Y~512199Y~541330E~541350Y~541519E~541611Y~541612Y~541618Y~541620Y~541690Y~541840Y~541990Y~561110Y~561210Y~561320Y~561410Y~561611Y~561612Y~561621Y~561720Y~561790Y~561990Y~562998Y~611430Y,,N,JT20200928
82H65,20180313,32202,05,20170906,1231,2K,FL,27~2X~JX~LJ~OY,115310E~221320Y~236115Y~236116Y~236118Y~236210Y~236220Y~237110Y~237310Y~237990E~238110Y~238120Y~238160Y~238190Y~238220Y~238310Y~238320Y~238910Y~238990E~332710Y~484220Y~561210Y~561720Y~561730Y~562119Y~562910E~562998Y,,Y,JT20200308
82L34,20180313,28144,13,20170922,0930,2L,DE,27~2X~8E~8W~A2~A5~LJ~QF,238290Y~238390Y~238990E~325998Y~423320Y~541310Y~541350Y~541990Y~561720Y~811310Y,,Y,XX        
815N5,20180313,78203,35,20100727,1231,2K,TX,2X~JX~LJ,332999Y~333249Y~333318Y~333912Y~333999Y~423120Y,,Y,XX        
82VK4,20180313,11423,05,20180301,0730,2L,NY,27~2X,541511Y~541611Y,,N,XX        
82YF3,20180314,37641,01,20180117,1231,2K,TN,27~2X~LJ,325211Y~325991Y~326122Y~326199Y~332312Y~332313Y~332996Y~332999Y~423390Y~423510Y~423840Y,4710~5450~5630~5680~Y1EZ~Y1FA~Y1FB~Y1FC~Y1FD~Y1FE~Y1FF~Y1FZ~Y1GZ~Y1HA~Y1HB~Y1JA~Y1JB~Y1JZ~Y1KA~Y1KB~Y1KC~Y1KD~Y1KE~Y1KF~Y1KZ~Y1LA~Y1LB~Y1LC~Y1LZ~Y1NE~Y1NZ~Y1PA~Y1PC~Y1PD~Y1PZ~Y1QA,Y,XX        
82HJ9,20180314,58854,00,20170818,1231,2K,ND,23~27~2X~8C~8D~8E~8W~A2~LJ~NB~OW,236115Y~236118Y~236210Y~236220Y~237110Y~237130Y~237310Y~237990E~238120Y~238160Y~238170Y~238210Y~238220Y~238320Y~238330Y~238910Y~238990E~444110Y~448110Y~448120Y~448190Y~531120E~561210Y~561621Y~561710Y~561730Y~562111Y~811310Y,,Y,JT20200507
82KB3,20180314,85541,04,20021107,1231,2L,AZ,27~2X~8E~8W~A2,541330E~541611Y~541613Y~541618Y,,N,XX        
82ZG5,20180315,60603,07,20120907,0930,2K,NV,1B~1E~1S~23~27~2X~LJ~NB~OW,236210Y~236220Y~237110Y~237120Y~237130Y~237990E~238130Y~238140Y~238210Y~238220Y~238290Y~238350Y~238910Y~238990E~332311Y~541330E~541360Y~541370Y~541511Y~541512Y~541513Y~541519E~541611Y~541612Y~541618Y~541620Y~541690Y~541715E~541720Y~541990Y~561110Y~561210Y~561410Y~561499Y~562112Y~562119Y~562211Y~562910E~562920Y~562998Y~611110Y~611310Y~611410Y~611420Y~611430Y~611519E~611630Y~611699Y~611710Y~621112Y,,N,A620230217
82KH1,20180315,32216,05,20180306,1231,2K,FL,23~27~2X~LJ~OY,236115Y~236210Y~236220Y~237130Y~238110Y~238140Y~238210Y~238310Y~238320Y~238990E~321991Y~333414Y~423330Y~423610Y~541512Y~561110Y,,Y,JT20200423
82E52,20180316,20147,10,20130115,1231,2L,VA,23~27~2X~8E~8W~A2~QZ~XS,541511Y~541512Y~541513Y~541519E,D399,N,A620271111
82LD2,20180316,63102,01,19951201,1231,2L,WI,23~27~2X~HQ~OY,518210Y~541430Y~541511Y~541611Y~541613Y~541618Y~541910Y~561410Y~611430Y,,Y,XX        
82NZ2,20180319,98402,06,20080201,1231,2J,WA,23~27~2X~8W~A2~LJ~NB~OW,332912Y~334111Y~334118Y~334419Y~334511Y~334513Y~334515Y~334516Y,6625~6650~H266,Y,XX        
82ML8,20180319,74361,02,20080602,0930,2L,OK,1B~23~27~2X~LJ~NB~OW,332322Y~332618Y~332710Y~332721Y~332999Y~336212Y~336413Y~336419Y,,N,A620240806~XX        
6LUY9,20180319,94607,13,20060801,1231,2L,CA,23~27~2X~8E~8W~A2~HQ~OY~XS,512110Y~518210Y~541214Y~541219Y~541611Y~541612Y~541613Y~541614Y~541618Y~541810Y~541820Y~541930Y~561110Y~561210Y~561440Y~561499Y~611430Y,,N,A620220319
82PB1,20180320,00907,98,20090928,1231,2L,PR,23~27~2X~PI,512191Y~518210Y~519130Y~519190Y~541430Y~541810Y~541820Y~541830Y~541850Y~541990Y~561920Y,,Y,XX        
82WZ0,20180321,20036,98,20180119,1231,2L,DC,23~27~2X~A5~JX~OY~QF,518210Y~541511Y~541512Y~541513Y~541519E~541611Y~541613Y~541614Y~541618Y~541690Y~541990Y~611420Y~611430Y~611699Y,,N,JT20210521
83RX2,20180322,22172,11,20150215,1231,2K,VA,23~27~2X~8E~8W~A2~LJ~OY,236210Y~236220Y~237990E~238110Y~238120Y~238140Y~238150Y~238160Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238350Y~238910Y~238990E~519190Y~541199Y~541214Y~541219Y~541611Y~541612Y~541614Y~561110Y~561210Y~561311Y~561320Y~561330Y~561410Y~561439Y~561612Y~561990Y~611699Y~621999Y,,Y,XX        
82MZ6,20180323,20737,05,20041101,1231,2L,MD,2X~A5~LJ~QF,332999Y~517311Y~517312Y~517911Y~541511Y~541512Y~541513Y~541519E~541690Y~541715E~541990Y~611420Y,AD26~AD92~AD93~AD95~AF16~D302~D304~D306~D308~R425,Y,XX        
82QY2,20180323,80919,05,20180301,0330,2L,NV,05~23~27~2X~HQ~NB,236210Y~236220Y~237110Y~237130Y~237310Y~237990E~238140Y~238160Y~238190Y~238210Y~238220Y~238320Y~238330Y~238990E~484210Y~519120Y~541330E~541620Y~541690Y~561110N~561210Y~561320Y~561330Y~561611Y~561612Y~561613Y~561621Y~561622Y~561720Y~561730N~562910E~811219Y~811310N,,Y,A620200912
82TD7,20180326,32301,05,20180315,1231,2K,FL,23~27~2X~8E~8W~A2~LJ~OY,518210Y~541512Y~541519E,,Y,XX        
01QH8,20180327,27106,05,20110804,1231,2L,DE,05~23~27~2X~LJ~NB,314999Y~315210Y~315220Y~424320Y~493110Y~541490Y~811490Y,,Y,A620280306
7N9Y7,20180629,72903,03,20100223,1231,2K,TX,23~27~2X~PI,236220Y~541330E~541519E~541618Y~541620Y~561110N~561210Y~561720Y~562910E,,Y,A620240309~XX        
83AM3,20180327,87106,01,20180216,1231,2K,NM,27~2X~8C~8D~8E~8W~A2~NB~OW,511210Y~517919Y~519130Y~519190Y~541330E~541340Y~541512Y~541513Y~541519E~541611Y~541614Y~541618Y~541690Y~541990Y~561110Y~561210Y~561410Y~561499Y~561611Y~561621Y~611420Y~611430Y~611513Y~611710Y~811212Y~811213Y~812990Y,,Y,JT20200403
84EQ3,20180328,58763,00,20180321,1231,2K,ND,1B~23~27~2X~NB,511130Y~518210Y~541511Y~541513Y,,N,JT20200907
82V75,20180328,53226,05,20120409,0930,2K,NV,1B~23~2X~LJ~NB,236220Y~237110Y~237130Y~237310Y~237990E~238130Y~238140Y~238160Y~238170Y~238210Y~238220Y~238320Y~238350Y~238910Y~238990E~541330E~541360Y~541370Y~541611Y~541620Y~541690Y~562910E,,Y,A620220314
830M2,20180328,20737,05,20160815,1231,2K,MD,23~27~2X~8E~8W~A2~LJ~OY,236210Y~236220Y~238210Y~238990E,,Y,XX        
82XJ9,20180330,20152,10,20150226,1231,2L,VA,23~27~2X~A5~LJ~QZ,541511Y~541512Y~541513Y~541519E~541611Y~561311Y~561320Y~561330Y,,N,A620290106
8G9R6,20180330,33760,13,20141209,1231,2J,FL,27~2X~A5~LJ~PI,423210Y~518210Y~519130Y~541511Y,7105~7110~7195~7210~D322,Y,XX        
830Y6,20180330,33760,13,20141209,1231,2J,FL,27~2X~A5~LJ~PI,423210Y~518210Y~519130Y~541511Y,7105~7110~7195~7210~D322,Y,XX        
82Y52,20180402,89423,02,20161016,1231,2L,NV,2X~HQ~XS,221320Y~236210Y~236220Y~237110Y~237310Y~237990E,,N,XX        
82Y27,20180402,20171,11,20180301,0930,2L,VA,05~23~27~2X~LJ~NB,541513Y~541990Y~561621Y,,N,JT20201012
82XQ8,20180402,00907,98,20161023,1231,2L,PR,23~27~2X~LJ~PI,221320Y~236118Y~236210Y~236220Y~237990E~238110Y~238140Y~238190Y~238210Y~238220Y~238310Y~238320Y,C1AA~C1CA~C211~C214~C223,Y,A620280914
83N07,20180403,42635,05,19970710,1231,2L,KY,27~2X~LJ,236118Y~236220Y~238130Y~238140Y~238160Y~238170Y~238190Y~238310Y~238320Y~238330Y~238340Y~238350Y,,Y,XX        
839N3,20180404,99508,00,20180409,0930,2L,AK,05~23~27~2X~LJ~NB,237990E~541611Y~541614Y~541620Y~561730Y~561790Y~562998Y,,Y,A620280717
832A6,20180404,35215,06,20170630,1231,2L,AL,23~27~2X~8E~8W~A2~LJ~OY,238320Y~561790Y,,Y,XX        
833S9,20180405,56466,08,20180402,1218,2L,MN,2X~A5~QF~XS,541330E~541360Y~541370Y~541511Y~541512Y~541513Y~541519E~541611Y~541618Y~541690Y~541715E~541990Y~561110Y~561210Y~561410Y,,N,XX        
82XK6,20180405,11206,07,20180326,1231,2L,NY,2X~A5~LJ~QF,511210Y~541430Y~541511Y~541519E~541613Y~541810Y~611420Y,AJ24~L070,Y,XX        
830S9,20180405,20190,11,20180402,1231,2L,VA,27~2X~8E~8W~A2~FR~LJ,518210Y~531120E~541211Y~541213Y~541330E~541430Y~541511Y~541512Y~541519E~541611Y~541612Y~541618Y~541690Y~541713Y~541990Y~561410Y~562910E~611420Y~611430Y~611519E~611710Y~711510Y,,Y,JT20200910
844K1,20180405,99503,00,20171201,1231,2K,AK,05~23~27~2X~NB,236220Y~238910Y,,N,JT20210701
830Q1,20180405,22201,08,20180401,1231,2L,MD,23~27~2X~8C~8D~8E~8W~A2~LJ~OY,511210Y~518210Y~541330E~541511Y~541512Y~541513Y~541519E~541690Y~561110Y~611710Y,,N,JT20200519
831C6,20180405,80538,02,20180326,1231,2L,CO,27~2X~8E~8W~A2~HQ,115310E~221310Y~236115Y~236118Y~236210Y~236220Y~237110Y~237120Y~237130Y~237310Y~237990E~238110Y~238120Y~238140Y~238160Y~238190Y~238210Y~238220Y~238290Y~238320Y~238330Y~238350Y~238390Y~238910Y~238990E~314110Y~332311Y~332312Y~333991Y~335313Y~335999Y~337215Y~339920Y~541370Y~541410Y~541611Y~561621Y~561720Y~561730Y~561790Y~562910E,,Y,JT20200629
83CD1,20180407,07305,10,20180401,0331,2L,NJ,23~27~2X~8E~8W~A2~LJ~OY,511210Y~519190Y~541330E~541370Y~541511Y~541512Y~541513Y~541519E~541618Y~541620Y~541690Y~561110Y~561210Y~561410Y~611420Y,,Y,XX        
833G2,20180409,22630,06,20130930,1231,2L,VA,23~27~2X~HQ~LJ~QZ,236210Y~236220Y~237110Y~237310Y~237990E~238110Y~238120Y~238910Y~541611Y~541690Y,Y1AA~Y1AZ~Y1BA~Y1BB~Y1BC~Y1BD~Y1BE~Y1BF~Y1BG~Y1KA~Y1KB~Y1KF~Y1LA~Y1LB~Y1LC~Y1LZ~Y1NC~Y1NE~Y1NZ~Z1BB~Z1BD~Z1BE~Z1BZ~Z1ED~Z1KA~Z1KB~Z1KF~Z1LA~Z1LB~Z1LC~Z1PZ~Z2BA~Z2BB~Z2BC~Z2BD~Z2KA~Z2KB~Z2LA~Z2LB~Z2LC~Z2LZ~Z2NZ,Y,A620280504
838V8,20180409,43232,03,20180405,1219,2K,OH,23~27~2X~OY,561720Y,S201,N,JT20200627
84B53,20180411,92081,49,19870601,1231,2L,CA,2X~A5~MF~XS,332710Y,1340~2920~2925~2930~2950~2990~2995~3040~3408~3411~3413~3415~3416~3417~3419~3426~3442~3443~3450~4330~5330~6105~6110~9330~AD92~AD93~AD94~AD97~AE25~H300,Y,XX        
83XH9,20180411,99507,00,20171122,0630,2L,AK,05~23~27~2X~LJ~NB,213112Y~236220Y~237990E~541620Y~561210Y~562910E,,Y,A620280522
83DR1,20180411,99503,00,20180102,1231,2L,AK,05~1B~23~27~2X~NB~XY,561210Y,,Y,A620280128
83GJ8,20180412,31321,01,20180301,1231,2L,FL,23~2X~8E~8W~A2~LJ~PI,221310Y~221320Y~221330Y~236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~237110Y~237130Y~237310Y~237990E~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990E~561210Y,,Y,A620200603
